Sl.No,Modes,Apr ‘17,May ‘17,Jun ‘17,Jul ‘17,Aug ‘17,Sep ‘17,Oct ‘17,Nov ‘17,Dec ‘17,Jan ‘18,Feb ‘18,Mar ‘18 (till 25th)
1,AePS,5.65,6.81,7.55,7.7,8.11,8.16,8.1,8.31,8.61,9.3,9.9,8.56
2,BHIM Aadhaar,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0,0
3,IMPS,6.51,6.67,6.58,6.91,7.57,8.29,8.81,8.95,9.8,9.96,9.9,9.21
4,USSD,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
5,UPI + BHIM,0.7,0.92,1.02,1.14,1.66,3.08,7.68,10.49,14.54,15.16,17.14,14.83
6,Debit Card,26.8,26.47,25.47,25.56,26.54,26.53,27.84,27.09,29.24,29.86,29.86,NA
7,RTGS,0.95,1.04,0.98,0.94,0.95,0.96,1,1.08,1.09,1.16,1.06,NA
8,NEFT,14.32,15.58,15.23,14.81,15.16,15.77,15.88,16.2,16.9,17.02,16.56,NA
9,NACH,21.22,19.43,19.69,20.43,20.47,17.6,18.7,19.75,19.11,20.37,19.91,15.95
10,NETC,0.74,0.81,0.82,0.86,0.97,1.01,0.98,1.07,1.23,1.25,1.23,1.28
11,PPI,35.22,27.8,25.56,27.02,26.11,24.03,24.52,23.62,31.98,36.12,36.12,NA
12,Credit Card,10.66,11.53,10.95,11.07,11.53,11.26,12.34,11.59,12.37,13,13,NA
13,Closed Loop Wallet,10.04,10.23,9.73,10.52,10.82,10.62,10.29,10.44,10.49,6.68,5.64,2.38
14,Internet Banking,10.9,11.81,11.94,11.1,10.83,11.08,11.76,12.06,11.62,12.3,11.67,9
15,Mobile Banking,3.67,4.66,4.6,4.3,4.21,4.67,6.28,5.59,6.83,5.61,5.59,4.68
16,Others,10.48,11.36,10.81,12.12,11.32,13.45,14.18,15.44,17.31,16.08,13.86,9.13
Monthly Total,Monthly Total,157.88,155.15,150.96,154.51,156.26,156.52,168.38,171.7,191.15,193.89,191.48,75.04
Cumulative Total,Cumulative Total,157.88,313.04,463.99,618.5,774.76,931.29,1099.66,1271.36,1462.51,1656.4,1847.88,1922.92
