Category of Major Heads of Development,Major Heads of Development,Tenth Plan (2002-07) - Projected Outlay,Annual Plan (2002-03) - Approved Outlay,Annual Plan (2002-03) - Revised Outlay,Annual Plan (2002-03) - Actual Expenditure,Annual Plan (2003-04) - Approved Outlay,Annual Plan (2003-04) - Revised Outlay,Annual Plan (2003-04) - Actual Expenditure,Annual Plan (2004-05) - Approved Outlay,Annual Plan (2004-05) - Revised Outlay,Annual Plan (2004-05) - Actual Expenditure,Annual Plan (2005-06) - Approved Outlay,Annual Plan (2005-06) - Revised Outlay,Annual Plan (2005-06) - Actual Expenditure,Annual Plan (2006-07) - Approved Outlay,Annual Plan (2006-07) - Revised Outlay,Annual Plan (2006-07) - Actual Expenditure
Agriculture & Allied Activities,Crop Husbandry,57685,9068,9068,5021.58,9954,5228.13,5337.21,16400,3984,7497.83,9038.74,9038.74,8960.09,14086.39,14086.39,21016.96
Agriculture & Allied Activities,Horticulture,NA,NA,NA,1666.73,0,6306.18,1583.07,NA,1182.22,5462.74,531.73,531.73,4025.27,3869.92,3869.92,2466.01
Agriculture & Allied Activities,Soil and Water Conservation (including control of shifting cultivation),184014,61216,61216,6869.24,25651,24737.83,12331.64,1950,1950,10757.99,10482.11,10482.11,11187.86,23027.74,23027.74,28045.48
Agriculture & Allied Activities,Animal Husbandry,13750,1280,1280,395.43,3047,2998.57,1644.8,NA,213.56,802.88,2493.15,2493.15,3577.84,5994.93,5994.93,5423.66
Agriculture & Allied Activities,Dairy Development,3000,347,347,155.38,475,146,474.59,NA,0,0,259.19,259.19,824.49,654.83,654.83,3780.24
Agriculture & Allied Activities,Fisheries,7020,1086,1086,798.52,1231,849.04,617.24,NA,101.95,800.25,1017.31,1017.31,964.06,3659.2,3659.2,1394.31
Agriculture & Allied Activities,Forestry & Wildlife,68279,2081,2081,1325.28,3159,3904.4,2584.41,NA,462.62,1061.76,1783.77,1783.77,1481.09,3973.78,3973.78,3646.25
Agriculture & Allied Activities,Plantations,0,0,0,0,0,0,0,NA,NA,0,175,175,0,400,400,0
Agriculture & Allied Activities,"Food,Storage & Warehousing",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
Agriculture & Allied Activities,Agricultural Research & Education,8000,474,474,734.37,1200,1192.88,749.17,NA,50.25,911.89,576,576,2153.85,1500,1500,1593.82
Agriculture & Allied Activities,Agricultural Financial Institutions,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
Agriculture & Allied Activities,Cooperation,83114,8716,8716,856.16,1807,1807.04,427.31,NA,3154.01,5100.49,3782.68,3782.68,3572.39,4618.95,4618.95,5860.52
Agriculture & Allied Activities,Other Agricultural Programmes - Agriculture marketing,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
Agriculture & Allied Activities,Other Agricultural Programmes - Others,0,0,0,0,0,42.79,0,NA,17.98,0,0,0,0,0,0,0
Agriculture & Allied Activities,Total - Agriculture & Allied Activities,424862,84268,84268,17822.69,46524,47212.86,25749.44,18350,11116.59,32395.83,30139.68,30139.68,36746.94,61785.74,61785.74,73227.25
Rural Development,Special Programme for Rural Development - Drought Prone Area Programme (DPAP),19500,3577,3577,1520.41,3033,2992.64,882.51,NA,444.07,1319,3389.64,3389.64,1549.35,3965.03,3965.03,3255.88
Rural Development,Special Programme for Rural Development - Desert Development Programme (DDP),NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
Rural Development,Special Programme for Rural Development - Integrated Rural Energy Programme (IREP),568,48,48,21.28,75,75,44.97,NA,NA,313.73,75,75,20,75,75,75
Rural Development,Special Programme for Rural Development - Integrated Wasteland Development Projects,NA,0,0,0,0,0,0,NA,NA,0,405.02,405.02,0,605,605,370.22
Rural Development,Special Programme for Rural Development - Swaranjayanti Gram Swarozgar Yojana (SGSY),NA,4296,4296,2059.81,4327,3713.07,2209.97,NA,1911.07,3084.88,4327.62,4327.62,3184.59,4655.09,4655.09,3707.79
Rural Development,Special Programme for Rural Development - DRDA Administration,23016,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
Rural Development,Special Programme for Rural Development - Others,NA,128,128,101.72,0,0,0,NA,NA,NA,50,50,0,50,50,0
Rural Development,Rural Employment- Sampoorna Gram Rozgar Yojana (SGRY),NA,NA,NA,13769.59,0,32229.71,22448.52,1237.55,5539.05,14153.77,24352.97,24352.97,20831.99,26338.16,26338.16,22288.38
Rural Development,Rural Employment- Others,405600,80090,80090,88900.02,70000,104250,105100,20477,106829,125603,57500,57500,98557,58471.87,58471.87,71712.28
Rural Development,Land Reforms,2555,1000,1000,709.77,1106,1100.31,1005.83,NA,844.01,283.87,1212.05,1212.05,906.89,0,0,672.81
Rural Development,Other Rural Development Programmes- Community Development & Panchayts,240733,13135,13135,7302.13,0,0,0,NA,NA,112.63,0,0,2665,0,0,19463.45
Rural Development,Other Rural Development Programmes- Other Programmes of Rural Development,NA,9044,9044,4230.66,30276,11859.39,10977.23,NA,1697.15,17946.74,5136.72,5136.72,25680.86,9430.98,9430.98,0
Rural Development,TOTAL - Rural Development,691972,111318,111318,118615.39,108817,156220.12,142669.03,21714.55,117264.35,162817.62,96449.02,96449.02,153395.68,103591.13,103591.13,121545.81
Special Areas Programmes,Special Areas Programmes,37322,6870,6870,4856.94,40601,33999.45,3742.59,217096,114947.49,3980.27,39043.07,39043.07,6551.21,60395,60395,7657.84
